package,city,place_tourism1,place_tourism2,place_tourism3,place_tourism4,place_tourism5,places
17,Jakarta,Museum Sumpah Pemuda,Tugu Proklamasi,Museum Basoeki Abdullah,Museum Layang-layang,Museum Perangko,Museum Sumpah Pemuda Tugu Proklamasi Museum Basoeki Abdullah Museum Layang-layang Museum Perangko
18,Jakarta,Klenteng Jin De Yuan,Masjid Istiqlal,Gereja Katedral,None,None,Klenteng Jin De Yuan Masjid Istiqlal Gereja Katedral None None
19,Jakarta,Taman Menteng,Taman Suropati,Taman Lapangan Banteng,Taman Cattleya,Taman Spathodea,Taman Menteng Taman Suropati Taman Lapangan Banteng Taman Cattleya Taman Spathodea
20,Jakarta,Wisata Agro Edukatif Istana Susu Cibugary,Bumi Perkemahan Cibubur,Taman Situ Lembang,Taman Agrowisata Cilangkap,Taman Lapangan Banteng,Wisata Agro Edukatif Istana Susu Cibugary Bumi Perkemahan Cibubur Taman Situ Lembang Taman Agrowisata Cilangkap Taman Lapangan Banteng
21,Yogyakarta,Nol Kilometer Jl.Malioboro,Alun Alun Selatan Yogyakarta,Tugu Pal Putih Jogja,Bukit Lintang Sewu,Bendung Lepen,Nol Kilometer Jl.Malioboro Alun Alun Selatan Yogyakarta Tugu Pal Putih Jogja Bukit Lintang Sewu Bendung Lepen
22,Yogyakarta,Air Terjun Kedung Pedut,Puncak Gunung Api Purba - Nglanggeran,Watu Mabur Mangunan,Geoforest Watu Payung Turunan,None,Air Terjun Kedung Pedut Puncak Gunung Api Purba - Nglanggeran Watu Mabur Mangunan Geoforest Watu Payung Turunan None
23,Yogyakarta,Alun-alun Utara Keraton Yogyakarta,Candi Ijo,Monumen Sanapati,None,None,Alun-alun Utara Keraton Yogyakarta Candi Ijo Monumen Sanapati None None
24,Yogyakarta,Pantai Indrayanti,Pantai Nglambor,Pantai Parangtritis,Pantai Sundak,Pantai Krakal,Pantai Indrayanti Pantai Nglambor Pantai Parangtritis Pantai Sundak Pantai Krakal
25,Yogyakarta,Candi Ijo,Pasar Beringharjo,Sindu Kusuma Edupark (SKE),None,None,Candi Ijo Pasar Beringharjo Sindu Kusuma Edupark (SKE) None None
26,Yogyakarta,Hutan Pinus Pengger,Bentara Budaya Yogyakarta (BBY),Desa Wisata Pulesari,None,None,Hutan Pinus Pengger Bentara Budaya Yogyakarta (BBY) Desa Wisata Pulesari None None
27,Yogyakarta,Candi Prambanan,Candi Borobudur,Kawasan Malioboro,None,None,Candi Prambanan Candi Borobudur Kawasan Malioboro None None
28,Yogyakarta,Pantai Patihan,Pantai Kukup,Hutan Mangrove Kulon Progo,Pantai Nguluran,Pantai Samas,Pantai Patihan Pantai Kukup Hutan Mangrove Kulon Progo Pantai Nguluran Pantai Samas
29,Yogyakarta,Gembira Loka Zoo,Kampung Wisata Kadipaten,Tebing Breksi,Embung Tambakboyo,None,Gembira Loka Zoo Kampung Wisata Kadipaten Tebing Breksi Embung Tambakboyo None
30,Yogyakarta,The Lost World Castle,Monumen Sanapati,Green Village Gedangsari,Pantai Depok Jogja,None,The Lost World Castle Monumen Sanapati Green Village Gedangsari Pantai Depok Jogja None
31,Yogyakarta,Puncak Segoro,Taman Pelangi Jogja,Galaxy Waterpark Jogja,None,None,Puncak Segoro Taman Pelangi Jogja Galaxy Waterpark Jogja None None
